stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6105,6105,Fixed Gear Brewing Co,EDINBURGH ROAD SOUTH & EDINBURGH ROAD NORTH,43.5376,-80.25835,0,,,,,0
6106,6106,Wellington Brewery,WOODLAWN ROAD WEST & GOVERNORS ROAD,43.533277,-80.321072,0,,,,,
6109,6109,Royal City Brewing Co,VICTORIA ROAD SOUTH & GORDON STREET,43.552485,-80.224803,0,,,,,
6112,6112,Poppy at Dallan westbound,POPPY DRIVE EAST & KAY CRESCENT,43.502577,-80.181957,0,,,,,
6113,6113,Clair at Dallan eastbound,CLAIR ROAD EAST & HAWKINS DRIVE,43.50477,-80.18288,0,,,,,
6114,6114,Laird at Southgate westbound,LAIRD ROAD & HANLON EXPRESSWAY NORTH,43.493241,-80.209416,0,,,,,0
6115,6115,Laird at Cooper southbound,LAIRD ROAD & HANLON EXPRESSWAY NORTH,43.485551,-80.214637,0,,,,,
6116,6116,Quarterman at Laird eastbound,QUARTERMAN ROAD & HANLON EXPRESSWAY NORTH,43.482707,-80.211688,0,,,,,
6117,6117,Quarterman at Cooper northbound,QUARTERMAN ROAD & HANLON EXPRESSWAY NORTH,43.484408,-80.21097,0,,,,,0
6118,6118,Cooper at Phelan westbound,COOPER DRIVE & HANLON EXPRESSWAY NORTH,43.48599,-80.21189,0,,,,,
6119,6119,Hanlon Creek at Laird westbound,HANLON CREEK BOULEVARD & HANLON EXPRESSWAY NORTH,43.485968,-80.215329,0,,,,,
6120,6120,195 Hanlon Creek northbound,HANLON CREEK BOULEVARD & HANLON EXPRESSWAY NORTH,43.490359,-80.217745,0,,,,,
6121,6121,245 Hanlon Creek northbound,HANLON CREEK BOULEVARD & HANLON EXPRESSWAY NORTH,43.49175,-80.218853,0,,,,,
6122,6122,285 Hanlon Creek northbound,HANLON CREEK BOULEVARD & HANLON EXPRESSWAY NORTH,43.493514,-80.220282,0,,,,,
6123,6123,Hanlon Creek at Bett westbound,HANLON CREEK BOULEVARD & BETT COURT,43.494391,-80.224758,0,,,,,
6124,6124,535 Hanlon Creek westbound,HANLON CREEK BOULEVARD & BETT COURT,43.49329,-80.229772,0,,,,,
6126,6126,Downey at Teal northbound,HANLON CREEK BOULEVARD & DOWNEY ROAD,43.496737,-80.233609,0,,,,,
6131,6131,290 Hanlon Creek southbound,HANLON CREEK BOULEVARD & BETT COURT,43.493346,-80.220374,0,,,,,
6134,6134,Laird at Cooper northbound,LAIRD ROAD,43.485571,-80.214366,0,,,,,
6135,6135,Laird at Southgate eastbound,LAIRD ROAD & HANLON EXPRESSWAY NORTH,43.493116,-80.209107,0,,,,,0
6136,6136,Laird at Clair eastbound,LAIRD ROAD & HANLON EXPRESSWAY NORTH,43.492912,-80.200878,0,,,,,
6155,6155,190 Hanlon Creek southbound,HANLON CREEK BOULEVARD,43.490258,-80.21788,0,,,,,
6161,6161,Grange at Bradson eastbound,GRANGE ROAD & BRADSON DRIVE,43.562132,-80.223996,0,,,,,
6162,6162,Grange at Kemp westbound,GRANGE ROAD & BRADSON DRIVE,43.561857,-80.224653,0,,,,,
